song_id,artist,title,dominant_emotion,dominant_sentiment,emotion_distribution,sentiment_distribution
499665,Envious,The Only Reason,anger,negative,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'surprise': 0.0, 'joy': 0.0, 'trust': 0.0, 'anger': 0.04632001567144781, 'disgust': 0.04632001567144781, 'fear': 0.04632001567144781, 'sadness': 0.04632001567144781})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.04632001567144781})"
1229054,The Sword,Untitled,fear,negative,"defaultdict(<class 'int'>, {'fear': 0.0, 'trust': 0.0, 'sadness': 0.0, 'anger': 0.0, 'disgust': 0.0, 'anticipation': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
961582,Agent M,Kus on mu kodu,fear,positive,"defaultdict(<class 'int'>, {'fear': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0})"
1018572,Def Con Dos,Falcon negro,sadness,negative,"defaultdict(<class 'int'>, {'sadness': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0})"
1495845,Lightyear (ska band),A Pack Of Dogs,trust,positive,"defaultdict(<class 'int'>, {'trust': 0.0, 'joy': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'fear': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
219064,Madonna,Material Girl,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0, 'trust': 0.0, 'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.04521971508310355, 'negative': 0.0})"
2434817,Dulce Mara,Dejarte de Amar,sadness,negative,"defaultdict(<class 'int'>, {'sadness': 0.08791605935475605})","defaultdict(<class 'int'>, {'negative': 0.08791605935475605})"
1798865,Grupo Montz De Durango,Te Pido Perdon,sadness,negative,"defaultdict(<class 'int'>, {'sadness': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0})"
7189951,Gucci Mane,Thirsty Gucci Sosa,disgust,positive,"defaultdict(<class 'int'>, {'disgust': 0.0, 'trust': 0.0, 'anticipation': 0.0, 'joy': 0.0, 'anger': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.18575486998229856, 'negative': 0.0})"
5938114,Dedis,Wyżej,trust,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'surprise': 0.0, 'trust': 0.053526117788782385})","defaultdict(<class 'int'>, {'positive': 0.0})"
5566428,Brahim,Fake Feelings,joy,positive,"defaultdict(<class 'int'>, {'trust': 0.0, 'surprise': 0.0, 'anticipation': 0.0, 'joy': 0.152628481157778, 'fear': 0.0, 'sadness': 0.0, 'anger': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.152628481157778})"
4480051,Yuvan shankar raja,Rowdy Baby,fear,negative,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'trust': 0.0, 'joy': 0.0, 'fear': 0.3370195244876639, 'anger': 0.06748781661741172, 'disgust': 0.06748781661741172, 'sadness': 0.06748781661741172})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.06748781661741172})"
760023,The Pack a.d.,The Water,joy,negative,"defaultdict(<class 'int'>, {'joy': 0.0, 'anger': 0.0, 'fear': 0.0, 'disgust': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.056524620723926})"
2231584,Riff raff & dollabillgates,Bonus Sleepless in Seattle,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'disgust': 0.0, 'sadness': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'fear': 0.0, 'trust': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
5159827,Prox Centauri,Shishigashira,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'trust': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
1592868,Ana Moura,Fado Vestido De Fado,anger,positive,"defaultdict(<class 'int'>, {'anger': 0.0, 'joy': 0.0, 'anticipation': 0.0, 'disgust': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
3785531,September,Cry for You Marc Zmile Remix,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'anticipation': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
4064260,Kamau Brathwaite,Shepherd,sadness,positive,"defaultdict(<class 'int'>, {'sadness': 0.0, 'trust': 0.0, 'joy': 0.0, 'anticipation': 0.0, 'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
3049252,Air R,Martwy,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'surprise': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
6859685,KWAIDE,Drop da mask,anticipation,positive,"defaultdict(<class 'int'>, {'fear': 0.0668746711883848, 'anger': 0.0, 'disgust': 0.0, 'sadness': 0.0, 'joy': 0.028212889026850485, 'trust': 0.09508756021523529, 'anticipation': 0.15090267791988587})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.09508756021523529})"
2929474,RifleX,I Am Bamenda,disgust,positive,"defaultdict(<class 'int'>, {'disgust': 0.0, 'trust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'anger': 0.0, 'joy': 0.0, 'anticipation': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
912951,Agnetha Fltskog,Take Good Care Of Your Children,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0})"
445094,Teddy the Beer,SPAM Intro,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'trust': 0.0, 'anticipation': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
3375384,Starlito,Winners Never Quit,joy,positive,"defaultdict(<class 'int'>, {'trust': 0.0, 'anger': 0.0, 'fear': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0730442648713514, 'surprise': 0.0730442648713514, 'anticipation': 0.05458827204552003})","defaultdict(<class 'int'>, {'positive': 0.0730442648713514, 'negative': 0.05458827204552003})"
4136695,CAESARIA,Floating Heads,anger,positive,"defaultdict(<class 'int'>, {'anger': 0.0, 'fear': 0.0, 'sadness': 0.0, 'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.03064551265828027})"
2161003,Vladimir Nabokov,Lolita Chapter Two,joy,positive,"defaultdict(<class 'int'>, {'trust': 0.05740472947495459, 'fear': 0.0, 'sadness': 0.0, 'anticipation': 0.05740472947495459, 'joy': 0.08348404933232337, 'surprise': 0.0, 'anger': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.08348404933232337, 'negative': 0.0})"
3869822,Magneto Dayo,A Midsummer Nights Dream,joy,positive,"defaultdict(<class 'int'>, {'fear': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'joy': 0.1184451808273548, 'anger': 0.0, 'disgust': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.1184451808273548})"
1625939,Spoken,Runaway,anticipation,negative,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'anger': 0.0, 'fear': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
5073154,Dad Feels,FOOD,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.19913862299518717, 'trust': 0.19913862299518717, 'anticipation': 0.19913862299518717, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.19913862299518717})","defaultdict(<class 'int'>, {'positive': 0.19913862299518717, 'negative': 0.0})"
6895205,Alex Martura,Ghost,trust,positive,"defaultdict(<class 'int'>, {'trust': 0.0, 'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0, 'fear': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
2424190,Amir Miles,On Silent,joy,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 1.1576574944991094, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'trust': 0.0, 'anger': 0.3604584447957032, 'disgust': 0.3604584447957032})","defaultdict(<class 'int'>, {'positive': 1.1576574944991094, 'negative': 0.3604584447957032})"
7867185,Xoxo Jordan,Quick Interlude,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'trust': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'anticipation': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
977012,Project Wyze,Tell The World My Name,anticipation,positive,"defaultdict(<class 'int'>, {'joy': 0.0860375954474692, 'sadness': 0.13190452947944556, 'surprise': 0.0, 'trust': 0.0860375954474692, 'anticipation': 0.2182716040640534, 'fear': 0.12138402610475749, 'anger': 0.08362548006836693, 'disgust': 0.03240900756827506})","defaultdict(<class 'int'>, {'positive': 0.0860375954474692, 'negative': 0.08362548006836693})"
357566,Claude-Michel Schnberg,Fantines Death,anger,negative,"defaultdict(<class 'int'>, {'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'trust': 0.0, 'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
1592580,Jamal (PL),Bomba,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'surprise': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0})"
7288449,Out of My Eyes,Run,surprise,negative,"defaultdict(<class 'int'>, {'anger': 0.0, 'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.3703974621074556, 'trust': 0.0, 'fear': 0.0, 'sadness': 0.3703974621074556})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.3703974621074556})"
5914655,MannyisWicked,Is this the end?,fear,negative,"defaultdict(<class 'int'>, {'anger': 0.0, 'disgust': 0.0, 'sadness': 0.0, 'fear': 0.022287824352982842, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'joy': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
6127559,"Antinger, Plert, Kanapeeter",Royal Star,anger,negative,"defaultdict(<class 'int'>, {'fear': 0.043063204867624244, 'trust': 0.0, 'anger': 0.27630915050251026, 'disgust': 0.27630915050251026, 'joy': 0.0, 'sadness': 0.043063204867624244, 'anticipation': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.27630915050251026})"
7598275,Darknitebar,Talk Free,fear,positive,"defaultdict(<class 'int'>, {'fear': 0.04073781468460188, 'sadness': 0.0, 'anger': 0.0, 'disgust': 0.0, 'trust': 0.04073781468460188, 'joy': 0.04073781468460188, 'anticipation': 0.04073781468460188, 'surprise': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.04073781468460188})"
3862079,Time Traveller (Metalcore),BYW,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'fear': 0.0, 'joy': 0.0, 'trust': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'sadness': 0.0, 'anger': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
6553697,AtariJones,Tales Of The Terrace,anger,negative,"defaultdict(<class 'int'>, {'anger': 0.0, 'fear': 0.0, 'sadness': 0.0, 'joy': 0.0, 'trust': 0.0, 'anticipation': 0.0, 'surprise': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
6490791,Lorekeeper,Tusk Rider,anger,negative,"defaultdict(<class 'int'>, {'anger': 0.0, 'anticipation': 0.0, 'fear': 0.0, 'surprise': 0.0, 'trust': 0.0, 'sadness': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0})"
1395718,Magrudergrind,Army Of None,trust,negative,"defaultdict(<class 'int'>, {'trust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0})"
4025971,Lennon Stella,Breakaway,sadness,positive,"defaultdict(<class 'int'>, {'sadness': 0.0, 'trust': 0.0, 'fear': 0.0, 'anger': 0.0, 'disgust': 0.0, 'surprise': 0.0, 'anticipation': 0.0, 'joy': 0.0})","defaultdict(<class 'int'>, {'positive': 0.4776455992779058, 'negative': 0.0})"
7334909,Grand Pyres,We Feel Alive,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'fear': 0.0, 'anticipation': 0.0, 'surprise': 0.0, 'trust': 0.0, 'anger': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
2244237,Neile,Endorfiny,trust,positive,"defaultdict(<class 'int'>, {'trust': 0.0, 'sadness': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'joy': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
1861600,Lido,Colder - 1861600,joy,positive,"defaultdict(<class 'int'>, {'anticipation': 0.026402528499858968, 'trust': 0.026402528499858968, 'joy': 0.550743957999817, 'anger': 0.026402528499858968, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.026402528499858968})","defaultdict(<class 'int'>, {'positive': 0.550743957999817, 'negative': 0.0})"
7147710,Antioch Music,Better Than Life,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.03465107150697948, 'joy': 0.03465107150697948, 'surprise': 0.03465107150697948, 'trust': 0.03465107150697948, 'anger': 0.03465107150697948, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.03465107150697948, 'negative': 0.0})"
3073190,SPACEGIRL GEMMY,Wii Goin Shoppin Bich,anger,negative,"defaultdict(<class 'int'>, {'anger': 0.0, 'anticipation': 0.0, 'disgust': 0.0, 'fear': 0.0, 'joy': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
1200900,Dean Martin,Turn the World Around,joy,negative,"defaultdict(<class 'int'>, {'joy': 0.0, 'anger': 0.0, 'fear': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
5018986,Alex Isley & Jack Dine,There Was Love,trust,positive,"defaultdict(<class 'int'>, {'trust': 0.0, 'anger': 0.0, 'fear': 0.0, 'sadness': 0.0, 'joy': 0.0, 'anticipation': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
3741688,Conscincia Na Realidade,06. CNR - Mais Um Dia de Guerra,sadness,positive,"defaultdict(<class 'int'>, {'sadness': 0.0, 'fear': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
76322,SLPY,Feels Like,joy,positive,"defaultdict(<class 'int'>, {'surprise': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'anticipation': 0.0, 'joy': 0.34292886799877514, 'trust': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.4049908019534514, 'negative': 0.0})"
1132879,The Wolfe Tones,Helicopter Song,sadness,positive,"defaultdict(<class 'int'>, {'sadness': 0.0, 'anger': 0.0, 'fear': 0.0, 'joy': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
7618274,Hornet's Daughter,Jail Cell,disgust,negative,"defaultdict(<class 'int'>, {'disgust': 0.0, 'sadness': 0.0, 'anticipation': 0.0, 'fear': 0.0, 'surprise': 0.0, 'anger': 0.0, 'trust': 0.0, 'joy': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
805052,Allister,Know It All,anticipation,positive,"defaultdict(<class 'int'>, {'anger': 0.0, 'anticipation': 0.21369398862399291, 'trust': 0.0, 'joy': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
698447,Butch Walker,Autumn Leaves,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0, 'trust': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'anger': 0.0, 'fear': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
5345635,Can Lnn,Tanrı Bizi Unuttu,fear,positive,"defaultdict(<class 'int'>, {'fear': 0.0, 'sadness': 0.0, 'anger': 0.0, 'disgust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
2415738,DNCE,Maybe Baby,joy,positive,"defaultdict(<class 'int'>, {'joy': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'trust': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
2942014,The Church,Field of Mars,anticipation,negative,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'anger': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'joy': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
1516105,Petra Magoni,E ci sei,anticipation,negative,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.0, 'joy': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0, 'positive': 0.0})"
7461228,Peter Himmelman,Waffles,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'trust': 0.0, 'surprise': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
5876881,Craig Reever,Put It On,joy,positive,"defaultdict(<class 'int'>, {'joy': 2.249523525256691, 'trust': 0.0, 'anticipation': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 2.4738162752479673, 'negative': 0.0})"
7866640,Zzz.,​all in,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'trust': 0.0, 'surprise': 0.0, 'anger': 0.0, 'fear': 0.0, 'disgust': 0.0, 'sadness': 0.0})","defaultdict(<class 'int'>, {'positive': 0.11930044438640126, 'negative': 0.0})"
7534418,Ra.D (KOR),열두달 12 Months,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'surprise': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0})"
230153,Ivy Sole,Free Fallin,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.02515051144543346, 'fear': 0.02515051144543346, 'joy': 0.02515051144543346, 'trust': 0.02515051144543346, 'anger': 0.0, 'sadness': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.02515051144543346, 'negative': 0.0})"
6606302,Chavant,Zonder reden,anger,positive,"defaultdict(<class 'int'>, {'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'joy': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
3635701,The Presets,Until the Dark,sadness,negative,"defaultdict(<class 'int'>, {'sadness': 0.0, 'anticipation': 0.0, 'anger': 0.0, 'fear': 0.0})","defaultdict(<class 'int'>, {'negative': 0.0})"
538403,Zero 7,Throw It All Away,anticipation,positive,"defaultdict(<class 'int'>, {'anticipation': 0.0, 'joy': 0.0, 'sadness': 0.0, 'trust': 0.0, 'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'surprise': 0.0})","defaultdict(<class 'int'>, {'positive': 0.09733405808451734, 'negative': 0.0})"
7039237,Mack Tonja,Fight  The Night,anger,positive,"defaultdict(<class 'int'>, {'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'sadness': 0.0, 'trust': 0.0})","defaultdict(<class 'int'>, {'positive': 0.0, 'negative': 0.0})"
